send_date,template_id,subject_line,pre_header_text,email_body,emails_sent,emails_unsubscribed,emails_clicked,emails_opened,sender_info
2025-05-27,T3,Flash Sale Ends Soon!,YtHFmD6TDXXpF8BV4Mqq,QM0Dctt12yX6yakMRoDb2Z1R1wFC1Iu4brXPVPnqbnmtpGLTZozGEolrwHpW5AwdO plh16dZSAcsQocY3ApDKu3qkVUw2zVzENy,2677,32,2047,2224,Marketing Bot
2025-06-09,T5,Unlock Your Reward,Y5MYuZqMKWaME7upb1qm,nk9Y8Kd5SZr7EhbpdlERvggPTekxNMEqrkvqSO9zGPABH8680O16FbWOsFNuVGn0lKfPCi3hXk5LF11bzHorQty13JdWRBxNgSf0,4257,41,241,2021,Jane from Growth
2025-06-19,T7,Thank You for Joining,qRCWh5zKr8P6jJbF5f W,tjH3rqx6KVXBCp6BOOUda4rPKmihVyye6FNj3mAAt9hWrhQ4aHAFSml0jZCtfaUlqr9y8qZjNTyGKR55zuhJyHdDSEVF5XDdmLE3,3127,9,454,1187,Marketing Bot
2025-06-18,T9,Flash Sale Ends Soon!,j sQjG4m01IKybV8bfXh,77V2Xm4a5dLKsxaMJApDW4TUaV wwnhDGx7QCEIarhVXxK7VkuayA4dgGEMM2OpYDkDK2FeaogVlzJdS4R8EyWs6S252oPELLwMW,2021,50,684,1231,Team Alpha
2025-04-24,T4,Unlock Your Reward,Xkt9T7Q8rRLVcvE8du8Z,6kHlMSD6B62Uy9mNZIx1a1sMSu7NnIKwIQRAONUEUkz9oP75ZUsETiUQjsiXIIhpNrK8AVdh9H8sNedMQO AjWgK3Eegn2hSfERC,1316,37,450,748,Team Alpha
2025-05-21,T1,Unlock Your Reward,g2lFTU9pTfOhvmt22LWl,TYfNiqr8J9F2H4tDoipUWfQ6JObGd7IhuksobAm2JZfUlDaYi362BqSMKZhMlsaGuwbrWXBbudrITZvLQan4ct5deziUnGxVIDU ,3065,25,482,1479,Marketing Bot
2025-05-15,T7,Your Weekly Update,HQUEDqQyZHiPdlRP5oBa,x4NmgscltSfRmWHaVGnypOi5FrDBrEp66W6YeiIOKIq3SzLCMJkJSYvp2SScRpkyjQBnfkmDlBT856HNhv0OqDsH SaByJiElMRH,2586,47,818,1249,Jane from Growth
2025-06-16,T4,A Special Offer Inside,sYW1Wmd4bcHixmWf2pQl,KnT8abwvuwDqyggceZsvImCZ6lu5x0D3F6j74d4Wlrjo f5NzBxIJedWQMmJH1U7iEYUn9TKG5Q83lLGiBnjmCXt8ZGoiQBeTyJO,2061,29,435,875,Marketing Bot
2025-06-05,T5,Flash Sale Ends Soon!,3zagFEoeRRxM8Jx8Lxv0,ReUkC1p7FK 6LyNTfEz7fxzaJ9QWauNnEWyXqHnmz3Enf90pdPYFeUZmJapJjfvWPs2epFlATIJ54gc7S uLigDp9E1AfqfPgRvw,2919,16,737,962,Jane from Growth
2025-04-24,T5,Your Weekly Update,v7mHInKoAv4UFXlIieS5,zgnOl3KVYJrAdldqF9a5oNyJWhZSmVu1BPULvDq2kK7ZxEBXPsDaeg5VUPylZZqvCfm WqlcmEklj2RxE4mlpeFzqLTM3NWBkehn,3113,39,618,1368,Customer Success
2025-05-09,T8,Unlock Your Reward,SpcqDwofhzZ jlBDXFXg,XsOFu79aWBKMJUoojBNATmB 3CUF 6YieNKSLV5iHvuuyhoejwOmcX6mnu7WwSLFNfw7f5tUh6RWNWFZCP1WmWR6ewkKBd5vTheS,2530,31,678,2401,Team Alpha
2025-06-05,T10,A Special Offer Inside,f4MiA 5Tr9d3qZTC6Sny,TiL7vDecIlQFzYTm13lnkzsRYyAXuAE70JSoN2owavb6IFaVKpUkMxM5jEa6qJLcbYFYLZrFxMP800daBOO07zQRReSw6XvxW00l,2793,24,534,2563,Jane from Growth
2025-06-03,T6,Your Weekly Update,gSph 5HYxlihHR5NfBaI,QHCTqISwhDLfOD0PRUCaCCHznxSaW5kD1KUDK2WbJI rWNm4P70q6kqS8xenSb6iaCFSP4huGNgj2d8PWaZgOvr5DPJ MP1gppsv,3441,28,1130,1711,Jane from Growth
2025-05-08,T9,Thank You for Joining,4SxmhaOsx4JA23sPYT3X,Df6g5KdpZJIw58AUgog0wRAq62OSXHk4quksgpVZa3fayZG4WoAUFBr2EGjL9PtiwYWmvVHb k2ncReAUDMr6sClzg5XaDz7fT9C,4523,12,1886,3362,Marketing Bot
2025-05-16,T5,A Special Offer Inside,caP2ylZQuMinD2znE9nA,bJ1acpusBLR5BjJZJuYnqu1RY0xYqjGLG7HY3lIyFdN3cGYhKnZOQtMlOdqem9DwwZ9Dn4O7zBGdggaY6gObODI48CXipylEqCb7,3017,24,1587,2977,Marketing Bot
2025-04-21,T10,Thank You for Joining,yn2lmLPcBLj43xxNWfoV,bdjFGJMjVD6FwfKEzJTy LOrKPBHvQj8PWzH7h0Ng38nDtOdlSS4ngfBpRoAAUFcL53TpcHa6e3QcULYI3TE02Dffbu4apdh8Ro8,3133,21,1137,1260,Team Alpha
2025-05-08,T3,Thank You for Joining,Us4RGA jtvAGI73PbDdu,PDaB4z3UQEMSTSJh9cmweOLIhphJZ9Yri5R6h5kXR3R2KeYL5lwYe0klp74BDNYvtN6C2uDDeOBz23UNY9jWkkVIVUwS5rlsCxL3,3929,48,443,562,Marketing Bot
2025-06-06,T2,Your Weekly Update,kLYoTyChGGlmcaYUwWYB,yZeXB2vFx661pJJ4 73em3KTq1ppyOHdTrca8Q0GdnYzqLeEskjBg0AqnpWsWqRoDkKDGduevbsBWvkPSV6cOF23XN1SHVZZFw6y,2548,28,380,987,Marketing Bot
2025-05-28,T2,Your Weekly Update, ydthVnAXLKtGnmBGWVd,D4slSDWdo1uRla32tAaX04Lao8iGsDUKu4LYpNHZegY4LmgwKtlRfHU3Yp7SbMir0EVf9UaEzAzwUXHXnIcKvVB oafj1nLdhCi3,1526,42,230,648,Customer Success
2025-05-10,T3,Unlock Your Reward,c2bxrxpIVu7ckqFhj3Xf,1dK2qApFZhQzVXwabAMw8zk6wZAFPzA4wLrcBx bmB4 CbrDTj P4jIKzPuVSGm WfkU66deYJIrq4yv1G6jQNprL3C8lvL4vKyY,1894,31,627,929,Team Alpha
2025-06-01,T9,Your Weekly Update,gXBX7e9zSp5P0GIzPQ8m,DXdx0Xb9MebqPrWRD1bwENhYx bTx22hO97YfvdboKcjklgQKYDWwxDMu6hQgAytvQJuyzD LwBGMooQjqOr v3eC WTjegynbaA,3494,28,1977,2004,Jane from Growth
2025-05-11,T10,A Special Offer Inside,l1lMprYg5hj7k8maZtmL,Re2Ydr2ZkRSzv9w6MOCpNW8T7hoOSXKsQP2vjn6GVXlNgceutHHi3K6xy7p4iAD0STXrI7k5xKhnWWDG00V51J9ObBoGh2ZqhtiS,1753,23,117,1323,Customer Success
2025-05-18,T9,Thank You for Joining,RZAxKGmA7WBLb2wGQ3mu,4n0RkVDTiskZaYkc69wysWzaAf2zlevMUKDBGib1VfvmxgCDtMUb5aACV6sJ8ZwymMHUd6DYzUaGKGq1GHGSwJIALh0U XrDqN7e,4461,43,247,1146,Customer Success
2025-06-08,T6,Thank You for Joining,OnIBsF5AruEpAsZg3dBZ,heK2uFk3o1eDfYcHetKnf5HNobVPCjS5 eyUSfX 3 gkfJB3NUmc5jHn8hXI2u4haOCZXZ9hr4Sb735OaF9wHS1Ue3k6t5jQ362p,4140,40,477,797,Team Alpha
2025-04-26,T4,Your Weekly Update,H0CR1U1qke1uOSWieLMF,NMr7ns80aVCLQsvs687R47 tty1SKGiuBjCO8mALODrq6DVPgZbFsty5C5xnjxzNtejKOEhQDnNbYhM0zJQvoWIQO6aa5UQ0UvMN,1245,27,525,1233,Marketing Bot
